,MESH_CODE,最高路線価,最低路線価,平均路線価,平均最高路,平均最低路,全平均路線,geometry,lat,lng
0,N095E040,107.0,59.0,83.0,104.0,71.0,88.0,"POLYGON ((135.5437552401488 34.77183769062226, 135.5492175651783 34.77185810457058, 135.5492419184612 34.76735074051116, 135.5437798889113 34.76733034291927, 135.5437552401488 34.77183769062226))",135.5464986546047,34.76959423998627
1,N095E045,105.0,59.0,82.0,105.0,59.0,82.0,"POLYGON ((135.5492175651783 34.77185810457058, 135.5546799182069 34.77187832617425, 135.5547040052346 34.76737094974541, 135.5492419184612 34.76735074051116, 135.5492175651783 34.77185810457058))",135.55196085282145,34.76961454856808
2,N090E035,108.0,61.0,85.0,103.0,66.0,84.0,"POLYGON ((135.5383178964022 34.76730973475011, 135.5437798889113 34.76733034291927, 135.5438045377605 34.76282297977082, 135.5383428605121 34.76280239997698, 135.5383178964022 34.76730973475011))",135.5410612985224,34.76506638605554
3,N090E040,121.0,46.0,84.0,112.0,74.0,93.0,"POLYGON ((135.5437798889113 34.76733034291927, 135.5492419184612 34.76735074051116, 135.5492662716914 34.76284336069568, 135.5438045377605 34.76282297977082, 135.5437798889113 34.76733034291927))",135.54652315566716,34.76508687631567
4,N090E045,120.0,46.0,83.0,97.0,68.0,83.0,"POLYGON ((135.5492419184612 34.76735074051116, 135.5547040052346 34.76737094974541, 135.5547280937558 34.76286357117871, 135.5492662716914 34.76284336069568, 135.5492419184612 34.76735074051116))",135.55198507196295,34.76510717373494
5,N095E035,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.538292934193 34.77181706280463, 135.5437552401488 34.77183769062226, 135.5437798889113 34.76733034291927, 135.5383178964022 34.76730973475011, 135.538292934193 34.77181706280463))",135.54103649165987,34.769573729342646
6,N100W130,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.3635002006215 34.77103014447837, 135.363465639989 34.77553736849823, 135.3689281231962 34.77556576067598, 135.3689623822649 34.7710585299555, 135.3635002006215 34.77103014447837))",135.36621408687796,34.77329797164362
7,N100W125,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.3689281231962 34.77556576067598, 135.3743906028997 34.77559390762828, 135.3744245586256 34.77108667078025, 135.3689623822649 34.7710585299555, 135.3689281231962 34.77556576067598))",135.37167641704974,34.773326238123325
8,N100W120,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.3743906028997 34.77559390762828, 135.3798530735645 34.77562180925481, 135.3798867237849 34.77111456710125, 135.3744245586256 34.77108667078025, 135.3743906028997 34.77559390762828))",135.3771387399393,34.77335425970237
9,N100W115,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.3798530735645 34.77562180925481, 135.385315546148 34.77564946471763, 135.3853488900097 34.77114221724031, 135.3798867237849 34.77111456710125, 135.3798530735645 34.77562180925481))",135.38260105860118,34.7733820356484
10,N100W110,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.385315546148 34.77564946471763, 135.3907779819148 34.77567686649719, 135.390811015674 34.77116961379668, 135.3853488900097 34.77114221724031, 135.385315546148 34.77564946471763))",135.38806335865002,34.773409561890325
11,N100W105,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.3907779819148 34.77567686649719, 135.3962404251662 34.77570402320743, 135.3962731488213 34.77119676532464, 135.390811015674 34.77116961379668, 135.3907779819148 34.77567686649719))",135.3935256431062,34.7734368385339
12,N100W100,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.3962404251662 34.77570402320743, 135.401702832668 34.77573092542365, 135.4017352420884 34.77122365796751, 135.3962731488213 34.77119676532464, 135.3962404251662 34.77570402320743))",135.3989879128403,34.77346386459676
13,N100W095,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.401702832668 34.77573092542365, 135.4071652383986 34.77575758062307, 135.407197333118 34.77125030281404, 135.4017352420884 34.77122365796751, 135.401702832668 34.77573092542365))",135.40445016230382,34.77349063835585
14,N100W090,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.4071652383986 34.77575758062307, 135.4126276709662 34.77578399786024, 135.4126594487006 34.77127670839059, 135.407197333118 34.77125030281404, 135.4071652383986 34.77575758062307))",135.40991242366414,34.77351716922897
