,世帯数分布(抽出率調整),集計世帯数,世帯人員(人),18歳未満人員(人),65歳以上人員(人),うち無職者人員(人),有業人員(人),世帯主の年齢(歳),持家率(％),家賃・地代を支払っている世帯の割合(％),消費支出,食料,穀類,米,パン,麺類,他の穀類,魚介類,生鮮魚介,塩干魚介,魚肉練製品,他の魚介加工品,肉類,生鮮肉,加工肉,乳卵類,牛乳,乳製品,卵,野菜・海藻,生鮮野菜,乾物・海藻,大豆加工品,他の野菜・海藻加工品,果物,生鮮果物,果物加工品,油脂・調味料,油脂,調味料,菓子類,調理食品,主食的調理食品,他の調理食品,飲料,茶類,コーヒー・ココア,他の飲料,酒類,外食,一般外食,学校給食,住居,家賃地代,設備修繕・維持,設備材料,工事その他のサービス,光熱・水道,電気代,ガス代,他の光熱,上下水道料,家具・家事用品,家庭用耐久財,家事用耐久財,冷暖房用器具,一般家具,室内装備・装飾品,寝具類,家事雑貨,家事用消耗品,家事サービス,被服及び履物,和服,洋服,男子用洋服,婦人用洋服,子供用洋服,シャツ・セーター類,男子用シャツ・セーター類,婦人用シャツ・セーター類,子供用シャツ・セーター類,下着類,男子用下着類,婦人用下着類,子供用下着類,生地・糸類,他の被服,履物類,被服関連サービス,保健医療,医薬品,健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通・通信,交通,自動車等関係費,自動車等購入,自転車購入,自動車等維持,通信,教育,授業料等,教科書・学習参考教材,補習教育,教養娯楽,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,宿泊料,パック旅行費,月謝類,他の教養娯楽サービス,その他の消費支出,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,こづかい(使途不明),交際費,贈与金,他の交際費,仕送り金,財・サービス支出計,財(商品),耐久財,半耐久財,非耐久財,サービス,食料(財・サービス),非耐久財(食料),サービス(食料),住居(財・サービス),耐久財(住居),半耐久財(住居),サービス(住居),家具・家事用品(財・サービス),耐久財(家具・家事用品),半耐久財(家具・家事用品),非耐久財(家具・家事用品),サービス(家具・家事用品),被服及び履物(財・サービス),半耐久財(被服及び履物),サービス(被服及び履物),保健医療(財・サービス),耐久財(保健医療),半耐久財(保健医療),非耐久財(保健医療),サービス(保健医療),交通・通信(財・サービス),耐久財(交通・通信),半耐久財(交通・通信),非耐久財(交通・通信),サービス(交通・通信),教育(財・サービス),非耐久財(教育),サービス(教育),教養娯楽(財・サービス),耐久財(教養娯楽),半耐久財(教養娯楽),非耐久財(教養娯楽),サービス(教養娯楽),諸雑費(財・サービス),耐久財(諸雑費),半耐久財(諸雑費),非耐久財(諸雑費),サービス(諸雑費),調整集計世帯数,教養娯楽関係費,耐久財(教養娯楽関係費),他の教養娯楽関係費,読書,聴視・観覧,旅行,スポーツ,月謝,会費・つきあい費,その他の教養娯楽,消費支出(再掲),基礎的支出,選択的支出
2003-11-01,10000,7917,3.21,0.67,0.61,0.48,1.44,54.1,77.5,21,289498,73806,7568,3673,2227,1355,313,7674,4664,1401,767,842,6130,4824,1307,3390,1621,1096,673,7963,4527,848,1228,1360,3066,2939,127,3390,336,3054,5827,8202,3324,4878,3323,947,722,1653,3673,13598,12490,1108,18199,10644,7555,3002,4553,19099,7960,5053,1155,4931,11302,4031,1706,1278,1047,1106,994,2296,2024,851,15672,489,6512,2128,3516,869,2990,894,1840,257,1451,482,795,174,260,1340,1549,1080,12068,1902,951,1974,7242,37830,5873,19869,6279,194,13395,12088,10032,7549,125,2358,29995,2517,6695,4630,16153,1660,4588,3254,6651,61493,22705,3020,3754,1909,1009,13013,16718,16276,12657,3618,5794,250710,146417,17688,26839,101890,104293,73806,60208,13598,18199,2033,969,15197,11302,4796,3631,2024,851,15672,14593,1080,12068,786,247,3794,7242,37830,6704,1893,4432,24801,10032,125,9907,29995,2386,3520,7793,16296,22705,983,1986,4414,15321,727963,33019,2538,30481,4630,1992,9318,2329,2865,1284,8062,289498,168606,120892
2003-12-01,10000,7943,3.21,0.68,0.61,0.48,1.44,54.1,76.6,22.3,355228,100255,9456,3779,2252,1860,1565,14009,7680,2875,1649,1806,8431,6230,2201,3662,1732,1203,728,10310,5439,1733,1369,1769,4355,3938,417,4451,648,3803,8338,11650,3704,7946,4288,1368,1066,1854,6138,15166,14075,1091,26018,12307,13712,4689,9023,21610,8587,5769,2261,4993,15686,5440,2144,2101,1195,1636,1298,3342,2868,1102,18348,758,7389,2820,3481,1089,3372,1127,1978,267,1878,700,974,204,259,1727,1731,1235,13930,2333,1300,2399,7898,37285,6001,18270,2474,198,15597,13015,10100,6900,149,3051,37819,4363,10768,5280,17407,1391,4149,3397,8469,74176,24161,3560,4775,2280,1027,12519,23518,19691,15524,4167,6806,305213,188182,18628,34761,134792,117031,100255,85089,15166,26018,3275,1413,21329,15686,6610,5107,2868,1102,18348,17113,1235,13930,902,390,4739,7898,37285,3033,2538,4876,26838,10100,149,9951,37819,4190,5910,10117,17603,24161,618,2290,5344,15909,727735,41209,4551,36658,5280,3110,8883,2520,3038,1441,12385,355228,217290,137939
2004-01-01,10000,7875,3.21,0.68,0.6,0.47,1.43,54.2,76.4,22,301275,70979,6224,2341,2248,1331,305,7608,4846,1272,725,766,5770,4717,1053,3105,1500,1022,583,7942,4719,760,1231,1231,2680,2480,199,2921,263,2658,6093,7878,3312,4566,3116,905,631,1580,2961,14681,13556,1126,15214,11224,3990,1467,2523,25258,11168,6959,2404,4727,9382,3011,1365,879,767,944,795,2165,1674,793,16407,660,7370,2440,3765,1164,3121,917,1937,267,1300,439,720,141,257,1439,1465,795,12752,1967,1194,2394,7196,34551,6295,17051,4413,99,12539,11205,12259,9219,152,2888,29510,3110,6518,4348,15534,1752,3869,3702,6211,74964,21329,2914,3474,2270,998,11672,18345,28454,24884,3570,6837,247639,144271,14052,27159,103061,103368,70979,56298,14681,15214,1271,196,13747,9382,3640,3275,1674,793,16407,15611,795,12752,836,515,4204,7196,34551,4802,1219,4494,24036,12259,152,12107,29510,3005,4036,6825,15643,21329,498,2305,4157,14369,727861,31917,2889,29028,4348,1871,8728,2434,3006,1223,7418,301275,182918,118356
2004-02-01,10000,7898,3.21,0.68,0.6,0.47,1.43,54.3,76.8,21.7,284916,69848,6616,2731,2325,1293,266,7566,4791,1303,688,785,5603,4513,1090,3274,1527,1127,620,8330,5115,744,1224,1247,3008,2849,159,2997,273,2724,6315,7536,3257,4279,3180,930,620,1630,3157,12265,11145,1120,17624,11232,6392,2868,3524,25895,11357,7494,2178,4866,8090,1970,1142,336,492,810,743,1868,1815,883,12033,354,5417,1633,3042,741,2301,647,1464,190,1059,318,628,114,183,850,1132,737,11980,1911,1053,1944,7072,39783,5180,23458,9905,186,13367,11146,12301,9684,171,2445,29827,2695,6143,4519,16470,1323,4089,3772,7286,57535,18946,3075,3676,1699,945,9551,16731,15337,11661,3676,6522,246327,145575,18716,21894,104965,100752,69848,57582,12265,17624,2181,687,14757,8090,2636,2756,1815,883,12033,11296,737,11980,636,388,3884,7072,39783,10326,1322,4381,23755,12301,171,12129,29827,2579,3682,6942,16624,18946,359,1763,4294,12530,727991,32264,2637,29627,4519,2979,8276,2110,3130,1312,7301,284916,169953,114963
2004-03-01,10000,7890,3.2,0.68,0.6,0.48,1.43,54.3,76.4,22,322091,74450,7177,3046,2505,1377,249,8051,4994,1472,700,885,5886,4692,1194,3428,1644,1158,626,8777,5355,805,1283,1334,3136,2980,156,3127,303,2824,6859,8006,3399,4607,3488,1058,666,1764,3311,13204,12587,618,17840,11423,6417,2224,4193,24328,10230,7194,1880,5025,10025,2841,2119,293,429,984,1083,2144,1947,1027,16553,608,7736,2421,4378,937,2965,854,1815,295,1046,296,613,137,242,1023,1895,1039,12728,1824,1292,2372,7240,45192,7344,25983,10590,387,15007,11865,15868,11196,1048,3624,32354,3433,7470,4795,16655,1722,4781,3721,6431,72752,23952,3307,3883,2434,1039,13289,17103,21179,17488,3690,10518,273291,159664,22044,27518,110102,113627,74450,61246,13204,17840,1837,386,15616,10025,3633,3419,1947,1027,16553,15515,1039,12728,1247,300,3940,7240,45192,11270,1545,4753,27624,15868,1048,14819,32354,3307,4018,8224,16805,23952,751,2334,4615,16252,727705,36263,3380,32883,4795,1927,10451,2604,3518,1392,8197,322091,182252,139839
2004-04-01,10000,7884,3.19,0.68,0.6,0.48,1.42,54.4,77,21.5,325593,71128,7007,3037,2418,1337,214,7280,4470,1331,632,848,5808,4578,1231,3371,1636,1129,605,8670,5422,800,1239,1208,2737,2608,129,3003,269,2734,6068,7603,3162,4441,3604,1088,616,1900,3433,12545,11923,622,19991,11491,8499,2642,5858,22341,9459,6929,1083,4871,9627,2593,1811,274,508,1027,687,2130,2097,1094,15124,774,5375,1607,3072,696,3318,945,2040,333,1116,336,634,146,184,1016,1699,1641,12292,2046,1501,2054,6692,44689,7886,25288,10660,450,14178,11515,25614,21193,898,3524,34745,3304,7977,4787,18677,1461,4988,3957,8271,70042,20150,3143,3591,2159,976,10281,16524,17287,12763,4524,16080,275701,152191,21008,25501,105683,123510,71128,58583,12545,19991,2037,605,17349,9627,3299,3137,2097,1094,15124,13483,1641,12292,825,441,4335,6692,44689,11406,1376,4660,27248,25614,898,24717,34745,3162,4304,8442,18837,20150,279,2155,4328,13388,727519,38358,3354,35004,4787,3515,9951,2790,3784,1622,8556,325593,172438,153155
2004-05-01,10000,7916,3.2,0.69,0.59,0.47,1.42,54.3,77.4,21.4,299964,77575,7169,3024,2446,1503,196,7691,4796,1360,683,851,6273,4922,1352,3533,1709,1173,652,9102,5700,811,1284,1308,2826,2692,135,3269,308,2961,6539,7918,3250,4668,4339,1517,706,2116,3809,15105,13677,1427,21444,10950,10494,3684,6809,19694,8339,6043,697,4615,10340,2999,1498,662,839,1018,811,2134,2280,1097,15503,402,5586,1939,2956,691,3775,1155,2302,318,1368,395,804,169,179,1150,1707,1335,11616,1721,1426,2253,6216,39079,6771,21010,6800,233,13977,11297,11086,8383,329,2374,34451,3263,7518,4635,19035,2161,6048,3509,7318,59176,20653,3031,3719,2370,1006,10527,15882,16591,12189,4402,6050,261441,151160,17700,26364,107096,110281,77575,62470,15105,21444,2128,1557,17760,10340,3720,3242,2280,1097,15503,14168,1335,11616,858,581,3961,6216,39079,7282,1309,4995,25492,11086,329,10757,34451,3098,3232,8907,19215,20653,614,2276,4459,13305,727511,37881,3308,34572,4635,2007,11440,2778,3236,1405,9072,299964,173509,126455
2004-06-01,10000,7911,3.2,0.68,0.58,0.47,1.42,54.4,77.5,21.1,283000,72629,6999,2915,2300,1611,173,7089,4338,1299,599,853,5943,4611,1332,3421,1698,1103,621,9298,6010,764,1247,1277,3233,3115,118,3420,330,3091,5444,7465,2871,4594,4101,1116,687,2297,3971,12246,11001,1244,20495,10650,9845,2954,6892,18254,7459,5154,439,5201,10727,3691,1806,1229,656,850,719,2029,2389,1050,13554,326,4272,1423,2308,541,3557,1316,1971,270,1437,484,806,146,165,1043,1614,1141,12733,1815,1067,2427,7423,34144,5404,18174,4147,217,13810,10566,9143,6141,168,2834,30027,2481,6225,4385,16936,1119,4619,3633,7565,61293,20744,3053,3752,2013,1025,10901,19131,15408,10611,4797,6010,242451,140413,15226,23852,101336,102038,72629,60384,12246,20495,1725,1229,17542,10727,4283,3005,2389,1050,13554,12413,1141,12733,1040,597,3673,7423,34144,4568,1327,4664,23585,9143,168,8975,30027,2286,3269,7324,17148,20744,1324,2012,4480,12928,726965,33398,2496,30902,4385,3341,8548,2629,3573,1319,7108,283000,165692,117308
2004-07-01,10000,7892,3.19,0.68,0.59,0.48,1.41,54.5,77.6,20.4,302616,78768,7419,2816,2250,2171,182,6994,4232,1308,579,875,5986,4563,1423,3511,1803,1100,608,8565,5226,820,1245,1273,3879,3743,135,3540,503,3036,6097,8678,3257,5422,5136,1280,777,3079,4652,14312,13228,1083,20373,10295,10078,2495,7584,17862,8284,4485,382,4712,12647,5000,2070,1982,948,1161,725,2168,2506,1087,15082,775,5233,1455,3085,694,3987,1321,2286,380,1494,430,920,143,164,917,1622,890,12329,1846,1202,2276,7005,40481,7340,23103,7794,231,15078,10038,10477,7001,167,3309,32659,3385,6035,4479,18760,1718,6474,3542,7026,61935,20795,3119,3985,1817,1062,10812,19557,15423,11292,4131,6160,261475,152184,21106,25085,105994,109291,78768,64457,14312,20373,2118,377,17879,12647,5894,3161,2506,1087,15082,14192,890,12329,995,489,3840,7005,40481,8302,1745,5223,25212,10477,167,10309,32659,3184,3344,7166,18965,20795,612,1778,4773,13631,726501,36922,3420,33502,4479,1975,12025,2816,3376,1308,7522,302616,170358,132257
2004-08-01,10000,7915,3.19,0.68,0.6,0.48,1.4,54.5,77.3,21.4,301059,81036,7144,3006,2230,1713,194,7483,4562,1350,657,914,6333,5002,1331,3483,1759,1098,626,8556,5247,812,1255,1242,4442,4319,123,3226,396,2830,6968,8717,3660,5057,4670,1130,716,2824,4207,15809,15265,545,18167,10924,7243,2621,4622,20230,10402,3953,325,5549,11290,4309,2076,1267,966,1040,690,2049,2278,924,10506,341,3529,843,2144,542,2661,774,1652,235,1168,338,718,112,134,781,1216,677,11565,1852,1404,2156,6152,39594,8465,19168,5004,181,13983,11961,9301,6092,115,3095,37717,2797,6750,4533,23638,4207,7457,3633,8341,61653,21103,2770,3566,2180,1092,11495,17265,17610,13760,3850,5676,260509,147428,17234,20337,109857,113081,81036,65227,15809,18167,2115,505,15546,11290,5113,2975,2278,924,10506,9830,677,11565,863,518,4032,6152,39594,5489,1222,5579,27304,9301,115,9186,37717,2716,3288,7983,23731,21103,938,2000,4414,13751,726034,41964,2960,39004,4533,3533,15991,2243,3049,1249,8406,301059,178603,122457
2004-09-01,10000,7885,3.18,0.67,0.59,0.47,1.4,54.4,77.5,21.1,284946,72438,7233,3629,2175,1218,211,7096,4444,1242,663,749,5884,4682,1202,3452,1714,1077,661,8859,5632,739,1233,1255,3530,3421,110,2982,299,2683,5587,7845,3108,4737,3957,1008,659,2291,3491,12520,11441,1079,16935,10669,6266,2083,4182,18997,9940,3791,303,4963,8624,2354,1461,409,485,705,672,2009,2100,783,10937,260,3968,870,2518,579,2452,599,1637,215,1133,337,682,113,157,777,1429,762,11446,1691,1127,1944,6684,37344,6651,19556,5068,231,14258,11138,15871,13060,164,2646,29423,2721,5847,4616,16239,1540,5067,3328,6304,62931,19746,2863,3661,1580,1084,10558,15856,14976,11075,3901,12352,241762,135634,14375,19521,101738,106127,72438,59918,12520,16935,1728,355,14852,8624,2989,2752,2100,783,10937,10175,762,11446,820,356,3586,6684,37344,5554,1258,5117,25415,15871,164,15706,29423,2562,3051,7388,16422,19746,722,1574,4467,12984,725344,32964,2793,30171,4616,1981,9700,2162,3204,1170,7339,284946,163108,121839
2004-10-01,10000,7883,3.19,0.67,0.59,0.47,1.41,54.5,77.4,20.8,296794,75235,8242,4286,2306,1380,269,7481,4605,1293,783,801,6202,4979,1223,3487,1632,1128,727,9533,6029,766,1311,1427,3122,3009,114,3203,319,2884,5705,8397,3468,4929,3590,979,660,1950,3521,12752,11644,1108,18060,10640,7420,1943,5477,18701,8540,4064,789,5308,9717,2714,1456,755,503,1046,868,2023,2126,940,15405,791,5801,1669,3175,957,3358,976,2057,326,1389,450,768,171,178,1184,1610,1094,12649,1853,1120,1931,7746,37604,6548,20864,6532,139,14193,10192,16126,13808,167,2150,30439,2233,5945,4531,17730,1713,5022,3488,7507,62858,22149,2908,3724,2256,1046,12215,16681,14705,10770,3934,9323,256084,144509,15011,25215,104283,111575,75235,62482,12752,18060,1531,412,16117,9717,3468,3184,2126,940,15405,14311,1094,12649,796,261,3847,7746,37604,6847,1712,5155,23890,16126,167,15959,30439,1993,3188,7276,17981,22149,377,2147,4528,15096,725325,33868,2299,31569,4531,3071,9852,2366,3154,1313,7282,296794,168673,128121
2004-11-01,10000,7887,3.18,0.67,0.59,0.47,1.4,54.5,77.2,21.5,287806,72842,7137,3321,2191,1314,311,7466,4531,1315,777,843,6029,4727,1302,3316,1563,1046,707,9077,5511,851,1253,1462,3076,2959,117,3278,393,2885,5617,8023,3244,4779,3381,960,714,1707,3670,12772,11645,1127,21799,11090,10709,2844,7865,19015,7902,4777,1197,5139,10463,3704,1892,1221,592,1025,785,2030,2005,914,14456,1091,5573,1896,2895,782,2721,788,1703,230,1283,438,695,149,189,1105,1373,1121,12824,1720,1221,2248,7635,36974,5516,17662,3944,160,13559,13796,10409,7790,113,2505,29786,2719,6307,4602,16158,1385,3817,3250,7706,59239,20785,2718,3659,1577,1018,11813,16187,16047,12304,3743,6221,249352,140971,14827,24279,101865,108381,72842,60070,12772,21799,2246,598,18955,10463,4430,3114,2005,914,14456,13335,1121,12824,901,439,3848,7635,36974,4306,1689,4983,25997,10409,113,10295,29786,2572,3453,7447,16313,20785,373,1650,4384,14379,724578,32811,2715,30096,4602,2043,8100,2423,3049,1180,8700,287806,170316,117491
2004-12-01,10000,7911,3.18,0.67,0.61,0.48,1.39,54.6,77.7,21.7,345643,97783,8633,3141,2216,1804,1471,13210,7061,2750,1613,1786,8287,6259,2028,3674,1635,1208,832,10429,5728,1578,1312,1811,4466,4091,375,4223,603,3620,8209,11512,3751,7761,4177,1301,962,1914,5826,15138,14072,1066,22854,11807,11047,3015,8032,21570,8547,5589,2392,5043,13880,4260,2293,1298,669,1517,1301,2897,2723,1184,16217,438,6712,2488,3282,942,3150,1061,1825,265,1635,620,839,176,173,1512,1604,992,13087,2109,1432,2205,7341,40385,5872,22712,6747,158,15807,11801,10328,7246,149,2933,37870,4523,10613,5233,17500,1304,4071,3615,8510,71670,23122,3491,4373,1990,1069,12200,21074,20198,16054,4144,7275,297096,183474,20474,31196,131805,113622,97783,82645,15138,22854,2245,771,19839,13880,5345,4629,2723,1184,16217,15225,992,13087,801,370,4576,7341,40385,7195,2252,5212,25726,10328,149,10179,37870,4275,6043,9779,17772,23122,612,1906,5152,15452,724292,41265,4757,36508,5233,3188,8768,2570,2987,1466,12295,345643,209536,136107
2005-01-01,10000,7826,3.18,0.66,0.6,0.48,1.41,54.8,77.7,20.9,302145,70484,5738,1991,2113,1267,366,7433,4661,1277,723,773,5957,4914,1043,3091,1392,1008,691,7946,4764,770,1192,1221,2916,2722,194,2901,268,2633,5990,7926,3289,4637,3141,897,647,1596,2967,14477,13387,1090,15109,10903,4207,1268,2939,25440,10845,6671,3037,4888,9950,3547,2009,1058,480,968,988,2083,1682,682,15738,296,6921,2288,3674,959,3268,964,2018,286,1332,452,737,142,192,1386,1594,749,12411,1776,1221,2232,7182,36991,6184,18739,5024,75,13640,12068,12688,10085,149,2455,29421,3811,6476,4417,14718,1858,2782,3532,6546,73912,21634,2851,3491,2093,1063,12136,17338,27657,23916,3741,7283,249867,145345,15727,26925,102693,104522,70484,56007,14477,15109,985,282,13842,9950,4252,3335,1682,682,15738,14989,749,12411,909,307,4013,7182,36991,5322,1647,4744,25278,12688,149,12540,29421,3678,4280,6392,15072,21634,581,2086,4266,14701,723927,32096,3708,28388,4417,2108,7584,2620,3025,1276,7360,302145,174893,127251
2005-02-01,10000,7878,3.18,0.65,0.62,0.49,1.42,55,78.3,21.2,272407,66490,6065,2426,2110,1198,331,6928,4292,1244,658,734,5550,4530,1020,3220,1374,1106,740,8095,4984,774,1147,1190,2933,2779,155,2861,271,2590,6054,7451,3278,4173,3049,868,596,1585,2879,11406,10300,1106,15804,11146,4658,1621,3037,26761,11175,7334,3145,5107,7565,2075,1065,524,486,707,599,1720,1678,785,10124,113,4322,1395,2319,608,1954,539,1251,165,921,318,506,97,192,832,1042,747,12259,1827,1528,2417,6487,36526,4810,21008,6882,163,13963,10707,11981,9524,199,2258,28173,2463,5126,4400,16184,1440,4353,3627,6763,56725,21023,2789,3329,1685,883,12337,15459,13775,9779,3995,6468,236705,137840,16143,18947,102750,98866,66490,55084,11406,15804,1356,265,14183,7565,2684,2418,1678,785,10124,9378,747,12259,897,542,4333,6487,36526,7299,1482,4648,23097,11981,199,11781,28173,2333,3177,6089,16573,21023,1574,1686,3956,13806,724025,30211,2166,28045,4400,2860,8341,1781,2975,1220,6469,272407,157992,114415
2005-03-01,10000,7862,3.18,0.64,0.62,0.49,1.41,54.9,78.1,20.8,319333,73135,6527,2589,2353,1288,297,7763,4799,1361,702,901,6029,4857,1172,3524,1498,1216,810,8819,5499,826,1224,1270,3102,2956,146,3079,307,2772,6873,7971,3437,4534,3527,1038,650,1840,3247,12672,12123,549,15586,10647,4939,1196,3743,25197,10525,7175,2713,4785,10337,3226,1680,583,963,963,1246,2110,1948,843,14966,630,6808,2164,3839,805,2508,742,1507,258,1161,333,705,123,186,1000,1692,982,13577,2125,1482,2489,7481,45755,6756,28119,10720,323,17075,10881,15184,10990,966,3228,33423,3883,6846,4838,17855,1751,6001,3390,6713,72174,23334,3282,3801,2675,917,12660,16166,21683,17840,3843,10992,270493,158358,21616,26523,110219,112135,73135,60462,12672,15586,862,334,14390,10337,4116,3429,1948,843,14966,13984,982,13577,849,678,4569,7481,45755,11405,1711,5024,27616,15184,966,14218,33423,3760,3795,7621,18247,23334,624,2593,4431,15685,724310,37062,3785,33276,4838,2257,11449,2419,3202,1306,7806,319333,174226,145107
2005-04-01,10000,7881,3.18,0.65,0.62,0.5,1.41,55,78.6,20,317844,71803,6449,2630,2282,1264,274,7250,4510,1294,622,825,6004,4763,1241,3514,1540,1188,785,8770,5536,823,1180,1230,2803,2667,136,3029,296,2734,6072,7927,3341,4586,3803,1084,640,2078,3331,12850,12265,585,19431,10679,8752,2127,6625,22728,9755,6784,1486,4703,8525,2359,1332,341,686,612,505,2135,2015,898,15450,482,5980,1978,3274,729,3223,910,1952,360,1195,354,677,164,216,1087,1738,1529,13448,1819,1447,2157,8024,41103,7957,23073,7778,368,14926,10073,20985,17037,953,2996,32690,3546,7520,4605,17019,1170,4323,3502,8023,71683,23026,2984,3748,2167,967,13160,16718,17518,12879,4639,14421,269187,149387,18069,25382,105936,119801,71803,58953,12850,19431,1516,611,17304,8525,2830,2782,2015,898,15450,13920,1529,13448,828,509,4086,8024,41103,8398,1672,4910,26122,20985,953,20032,32690,3434,3763,7810,17683,23026,1062,2124,4481,15358,724223,36088,3553,32536,4605,3233,8779,2694,3372,1655,8197,317844,168875,148969
2005-05-01,10000,7915,3.17,0.64,0.63,0.49,1.43,55.1,78.7,20.1,295783,76430,6570,2570,2319,1406,276,7513,4605,1386,651,871,6323,4984,1339,3597,1601,1187,809,9179,5868,775,1254,1281,2847,2697,150,3201,310,2891,6396,7985,3287,4698,4562,1643,694,2224,3858,14401,13098,1302,21745,10559,11186,2970,8216,20493,8446,6128,943,4975,9250,2409,1618,294,496,939,747,2103,2246,805,14255,196,4883,1630,2687,566,3564,1107,2131,326,1292,386,766,140,172,1103,1720,1324,12657,1779,1248,2051,7579,38411,6538,20168,5052,238,14877,11706,10857,8429,267,2162,32053,2240,7520,4560,17733,1957,5240,2856,7680,59633,21461,3002,4099,2066,1046,11248,15905,15553,11293,4259,6714,257611,145404,13958,24008,107438,112208,76430,62030,14401,21745,1849,1121,18775,9250,3132,3066,2246,805,14255,12931,1324,12657,972,250,3856,7579,38411,5480,1421,5455,26056,10857,267,10590,32053,2125,3217,8240,18470,21461,400,2002,4851,14208,724180,35980,2353,33627,4560,2304,10572,2861,2814,1504,9012,295783,166518,129264
2005-06-01,10000,7901,3.18,0.65,0.62,0.49,1.43,55,77.8,21,284002,71786,6343,2440,2169,1479,255,6809,4108,1281,593,827,5894,4552,1342,3523,1628,1167,727,8697,5509,770,1204,1215,3143,3001,142,3325,367,2958,5619,7537,2921,4616,4419,1302,695,2422,3951,12525,11452,1073,20624,11122,9502,3316,6186,18699,7454,5345,598,5301,10810,3553,1822,1272,459,1263,537,2080,2388,989,15193,679,4876,1805,2539,532,3938,1563,2085,290,1537,534,823,180,158,1103,1742,1162,12987,1826,1268,1963,7930,37631,5916,21092,5439,167,15485,10623,8567,6028,181,2358,30916,2766,6272,4358,17519,1108,4826,3987,7598,56790,20469,3052,3998,2220,1096,10102,18215,13229,8992,4237,4877,247681,142844,17049,24217,101577,104838,71786,59261,12525,20624,2777,538,17309,10810,4584,2848,2388,989,15193,14032,1162,12987,844,340,3873,7930,37631,5823,1208,5289,25310,8567,181,8386,30916,2630,3074,7060,18151,20469,390,2176,4826,13076,724177,34917,3255,31661,4358,3361,9095,2548,3800,1276,7223,284002,161576,122426
2005-07-01,10000,7893,3.17,0.64,0.63,0.5,1.43,54.9,77.4,20.4,294764,77913,6821,2499,2186,1880,256,7075,4163,1356,618,938,6188,4657,1531,3511,1704,1111,697,8444,5010,959,1194,1282,3637,3509,128,3400,474,2926,6290,8819,3358,5461,4817,1154,773,2890,4665,14246,13254,992,20654,10726,9928,3396,6532,17557,7723,4597,378,4859,12176,4554,2236,1734,583,1046,913,2144,2521,998,14590,631,4958,1529,2801,627,3853,1218,2311,324,1455,450,845,160,131,933,1773,855,13133,2027,1457,2219,7430,35731,6786,18694,2865,213,15616,10251,9554,6286,134,3135,32766,3526,6408,4558,18274,1830,6212,3212,7020,60690,22413,3028,4187,2137,1121,11941,17656,15780,11830,3950,4841,256486,148450,17732,25203,105515,108036,77913,63667,14246,20654,2675,722,17257,12176,5420,3237,2521,998,14590,13735,855,13133,926,485,4292,7430,35731,3372,1326,5461,25573,9554,134,9420,32766,3357,3580,6905,18924,22413,1983,2119,4978,13332,724121,36724,3552,33172,4558,2105,11691,2625,3054,1280,7860,294764,171102,123662
2005-08-01,10000,7910,3.17,0.64,0.63,0.49,1.43,54.8,77.2,21.3,302201,79642,6463,2568,2103,1533,260,7230,4383,1327,609,911,6301,4926,1375,3475,1728,1085,662,8130,4916,844,1192,1177,4169,4047,122,3177,393,2784,7162,8684,3731,4954,4820,1137,713,2970,4332,15699,15183,516,20563,11307,9256,2942,6314,19386,9450,4160,395,5382,10677,3707,1723,1272,713,934,566,2157,2334,980,10712,251,3609,1052,2076,482,2769,801,1729,239,1193,349,747,97,136,731,1372,649,13353,1779,1821,2336,7417,39859,7863,20204,4168,236,15800,11792,8750,6014,129,2607,36298,3173,6570,4501,22054,3625,6834,3105,8491,62960,23883,2885,3741,2422,1171,13664,16259,18012,14587,3425,4806,263124,146500,17231,20386,108882,116625,79642,63943,15699,20563,2612,330,17621,10677,4438,2926,2334,980,10712,10063,649,13353,1071,512,4354,7417,39859,4611,1118,6586,27544,8750,129,8621,36298,3027,3099,7502,22670,23883,1473,2340,4647,15423,724258,40182,3227,36956,4501,3322,14532,2329,2431,1151,8688,302201,181088,121113
2005-09-01,10000,7905,3.17,0.64,0.62,0.5,1.43,54.8,77.1,21.1,288147,72080,6833,3286,2122,1153,272,6846,4250,1210,619,767,5975,4695,1280,3469,1698,1079,692,8482,5289,796,1181,1215,3595,3475,121,2919,292,2627,5662,8074,3376,4698,4002,991,656,2355,3507,12715,11697,1018,19774,10966,8808,3175,5633,19451,9843,3825,505,5278,9808,3167,1678,542,947,760,768,1996,2124,992,10328,417,3626,778,2367,481,2282,584,1483,215,1021,310,611,101,175,771,1301,735,12574,1668,1277,2135,7495,40341,6659,22613,6808,172,15633,11068,15451,12792,328,2331,30938,2878,6346,4432,17283,1437,5684,3522,6639,57402,20890,2918,3838,1802,1141,11191,15388,12773,9401,3373,8351,251635,140558,18172,19759,102627,111077,72080,59364,12715,19774,2814,361,16599,9808,3751,2941,2124,992,10328,9593,735,12574,1080,292,3707,7495,40341,7167,1493,5832,25849,15451,328,15123,30938,2728,3326,7088,17797,20890,633,1752,4732,13772,724407,34328,2927,31401,4432,2032,10366,2238,3248,1093,7991,288147,161293,126854
