,世帯数分布(抽出率調整),集計世帯数,世帯人員(人),18歳未満人員(人),65歳以上人員(人),うち無職者人員(人),有業人員(人),世帯主の年齢(歳),持家率(％),家賃・地代を支払っている世帯の割合(％),消費支出,食料,穀類,米,パン,麺類,他の穀類,魚介類,生鮮魚介,塩干魚介,魚肉練製品,他の魚介加工品,肉類,生鮮肉,加工肉,乳卵類,牛乳,乳製品,卵,野菜・海藻,生鮮野菜,乾物・海藻,大豆加工品,他の野菜・海藻加工品,果物,生鮮果物,果物加工品,油脂・調味料,油脂,調味料,菓子類,調理食品,主食的調理食品,他の調理食品,飲料,茶類,コーヒー・ココア,他の飲料,酒類,外食,一般外食,学校給食,住居,家賃地代,設備修繕・維持,設備材料,工事その他のサービス,光熱・水道,電気代,ガス代,他の光熱,上下水道料,家具・家事用品,家庭用耐久財,家事用耐久財,冷暖房用器具,一般家具,室内装備・装飾品,寝具類,家事雑貨,家事用消耗品,家事サービス,被服及び履物,和服,洋服,男子用洋服,婦人用洋服,子供用洋服,シャツ・セーター類,男子用シャツ・セーター類,婦人用シャツ・セーター類,子供用シャツ・セーター類,下着類,男子用下着類,婦人用下着類,子供用下着類,生地・糸類,他の被服,履物類,被服関連サービス,保健医療,医薬品,健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通・通信,交通,自動車等関係費,自動車等購入,自転車購入,自動車等維持,通信,教育,授業料等,教科書・学習参考教材,補習教育,教養娯楽,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,宿泊料,パック旅行費,月謝類,他の教養娯楽サービス,その他の消費支出,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,こづかい(使途不明),交際費,贈与金,他の交際費,仕送り金,財・サービス支出計,財(商品),耐久財,半耐久財,非耐久財,サービス,食料(財・サービス),非耐久財(食料),サービス(食料),住居(財・サービス),耐久財(住居),半耐久財(住居),サービス(住居),家具・家事用品(財・サービス),耐久財(家具・家事用品),半耐久財(家具・家事用品),非耐久財(家具・家事用品),サービス(家具・家事用品),被服及び履物(財・サービス),半耐久財(被服及び履物),サービス(被服及び履物),保健医療(財・サービス),耐久財(保健医療),半耐久財(保健医療),非耐久財(保健医療),サービス(保健医療),交通・通信(財・サービス),耐久財(交通・通信),半耐久財(交通・通信),非耐久財(交通・通信),サービス(交通・通信),教育(財・サービス),非耐久財(教育),サービス(教育),教養娯楽(財・サービス),耐久財(教養娯楽),半耐久財(教養娯楽),非耐久財(教養娯楽),サービス(教養娯楽),諸雑費(財・サービス),耐久財(諸雑費),半耐久財(諸雑費),非耐久財(諸雑費),サービス(諸雑費),調整集計世帯数,教養娯楽関係費,耐久財(教養娯楽関係費),他の教養娯楽関係費,読書,聴視・観覧,旅行,スポーツ,月謝,会費・つきあい費,その他の教養娯楽,消費支出(再掲),基礎的支出,選択的支出
2000-11-01,10000,7914,3.3,0.72,0.55,0.43,1.53,53.2,77,21.8,297144,76618,7293,3379,2191,1373,350,8883,5492,1516,916,959,6575,5169,1407,3629,1753,1102,775,9118,5269,915,1321,1613,3310,3171,140,3485,338,3146,5764,8041,3178,4862,3220,997,680,1543,3833,13465,12245,1220,22043,11121,10922,1878,9044,19486,8095,5054,1378,4958,11462,3465,1434,1407,625,1483,1086,2366,2107,955,16839,527,7004,2291,3760,952,3084,928,1886,269,1597,598,823,177,307,1472,1621,1227,11655,1875,769,2486,6525,36738,6469,18722,6355,186,12180,11547,11852,8805,227,2821,29690,3219,6736,4514,15221,1346,4314,3147,6413,60762,18584,3038,3540,1793,1133,9079,19550,15705,12223,3481,6924,254966,149293,17285,27132,104877,105672,76618,63152,13465,22043,1552,326,20165,11462,4613,3787,2107,955,16839,15612,1227,11655,855,686,3589,6525,36738,6768,1381,4290,24299,11852,227,11626,29690,3050,3630,7611,15397,18584,446,1710,4414,12013,732854,33413,3463,29950,4514,2059,8922,2600,3066,1339,7450,297144,170795,126349
2000-12-01,10000,7933,3.29,0.73,0.55,0.42,1.52,53.2,76.8,23.1,391556,107736,9779,4042,2190,1960,1587,16042,8590,3405,1870,2177,9463,6808,2655,4011,1876,1287,847,11558,6190,1843,1418,2107,5388,4940,447,4551,647,3904,8815,11700,3707,7993,4281,1374,1102,1804,6290,15859,14641,1218,28400,12539,15861,2683,13178,22831,9090,6180,2866,4695,17691,5878,2437,1959,1482,2204,1726,3661,2940,1282,21029,929,8212,3045,4064,1102,3857,1331,2224,302,2282,829,1178,275,375,2101,2103,1170,13350,2230,957,2965,7199,42855,6445,25627,9322,341,15964,10783,12906,9225,237,3445,40784,5601,12161,5218,17804,1006,5267,3314,8217,83973,22685,3618,4763,2742,1271,10291,30126,24385,20277,4108,6776,330268,209653,26980,38998,143675,120615,107736,91877,15859,28400,2209,474,25717,17691,7314,6154,2940,1282,21029,19859,1170,13350,940,842,4369,7199,42855,10144,2530,4894,25286,12906,237,12669,40784,5406,6547,10821,18010,22685,967,2590,5706,13423,732817,44233,5758,38476,5218,2682,9678,3183,3081,1603,13030,391556,228730,162826
2001-01-01,10000,7888,3.29,0.72,0.56,0.43,1.51,53.3,76.9,21.8,308912,72902,6069,2271,2097,1375,327,8267,5173,1385,862,847,6241,5114,1127,3260,1523,1044,693,8513,5169,748,1246,1351,3019,2803,216,2906,241,2665,6152,7766,3130,4635,2892,847,591,1455,3025,14792,13579,1213,16226,10759,5466,1965,3501,26139,11069,7247,3096,4728,11263,4556,2029,1395,1132,1006,984,2211,1598,908,17618,407,7982,2624,4227,1130,3143,1050,1801,292,1549,537,830,182,395,1621,1762,759,10615,1739,866,2132,5878,32148,6681,15106,3109,112,11885,10361,12852,9814,195,2844,30879,3673,7073,4216,15917,2170,3891,3986,5871,78269,19830,2755,3123,2166,1218,10569,20057,32202,28634,3567,6181,250473,149693,15973,29068,104651,100781,72902,58110,14792,16226,1678,286,14261,11263,5282,3475,1598,908,17618,16859,759,10615,859,224,3655,5878,32148,3639,1457,4259,22793,12852,195,12658,30879,3557,4669,6611,16041,19830,956,2098,4085,12691,732772,33709,3383,30326,4216,2083,9282,2742,3592,1366,7045,308912,188487,120426
2001-02-01,10000,7887,3.29,0.72,0.57,0.44,1.51,53.4,76.8,22.2,293698,70738,6301,2565,2158,1296,281,7846,4930,1355,764,798,5907,4790,1117,3385,1580,1089,716,8746,5410,780,1193,1363,3234,3082,152,2908,241,2667,6268,7328,2998,4330,2990,863,581,1546,3150,12676,11468,1208,18694,11231,7463,1668,5795,26779,11325,7639,3162,4652,10406,3738,2019,848,871,925,1004,2198,1685,856,13464,1231,5661,1764,3099,798,2229,694,1363,172,1142,387,626,129,254,1049,1134,764,11092,1820,804,2413,6054,38719,5430,23764,10488,132,13144,9524,15510,12870,217,2423,29113,3468,6044,4431,15170,1131,3895,4369,5776,59184,17121,2862,3332,2158,1108,7661,18356,15341,11814,3528,8365,251635,151294,21929,23785,105580,100341,70738,58062,12676,18694,1485,183,17026,10406,4583,3282,1685,856,13464,12700,764,11092,772,678,3588,6054,38719,10927,1182,4196,22414,15510,217,15293,29113,3270,3610,6851,15382,17121,892,2151,4203,9875,732265,30822,3165,27657,4431,2359,7906,2237,3078,1374,6272,293698,168993,124705
2001-03-01,10000,7907,3.29,0.72,0.57,0.44,1.51,53.4,76.8,21.5,339910,77077,7047,2993,2378,1398,278,8670,5459,1503,764,943,6273,4991,1282,3643,1677,1214,751,9016,5526,825,1237,1428,3415,3259,156,3090,283,2807,7145,8029,3339,4689,3431,1008,621,1802,3506,13813,13152,661,17868,10747,7121,1097,6024,24536,10161,7447,2339,4589,13139,5742,3386,908,1448,920,1144,2446,1977,910,18388,1161,8254,2707,4552,995,2948,807,1800,341,1179,351,654,175,316,1256,2049,1226,13088,2205,1129,2462,7292,43327,6817,27132,11637,349,15147,9379,18517,13832,996,3689,35475,4662,8096,4860,17857,1522,5899,4436,6000,78494,22013,3323,3593,2736,1157,11204,20125,22011,18653,3358,14345,283429,169245,26376,30580,112289,114185,77077,63264,13813,17868,669,428,16771,13139,6467,3785,1977,910,18388,17163,1226,13088,871,578,4347,7292,43327,12595,1417,4506,24808,18517,996,17521,35475,4545,4806,8130,17995,22013,1228,2403,4533,13848,730747,38715,4591,34124,4860,1992,11219,3169,3793,1432,7659,339910,184419,155491
2001-04-01,10000,7927,3.29,0.71,0.58,0.45,1.52,53.5,77.5,21.4,318509,74136,6865,2956,2310,1391,207,8260,5149,1465,713,933,6035,4736,1298,3586,1721,1154,712,8835,5504,760,1198,1373,2999,2857,142,2983,286,2697,6234,7859,3207,4651,3549,1094,591,1864,3590,13342,12721,621,18690,10323,8367,2654,5713,21944,9375,6801,1341,4427,10093,2941,1623,515,803,935,657,2588,1999,972,16456,390,6283,1911,3449,923,3439,989,2065,385,1239,408,658,173,208,1220,1915,1762,11485,1933,991,1966,6595,38563,7803,21133,7775,407,12950,9627,19884,16063,829,2992,34896,3383,8660,4554,18298,1516,5825,3932,7025,72362,19954,3011,3442,1948,1139,10414,18632,19734,15528,4206,14042,266101,152605,19410,26547,106649,113496,74136,60794,13342,18690,2236,419,16036,10093,3706,3415,1999,972,16456,14694,1762,11485,745,331,3813,6595,38563,8536,1188,4309,24530,19884,829,19055,34896,3238,4584,8615,18459,19954,948,1916,4344,12745,730441,38264,3453,34811,4554,2469,10893,3407,3540,1735,8213,318509,172758,145751
2001-05-01,10000,7948,3.28,0.71,0.57,0.44,1.5,53.6,77.4,21.6,300346,78011,6956,2964,2326,1463,202,8356,5168,1535,722,930,6417,4982,1435,3671,1805,1149,717,9408,5894,809,1256,1449,3051,2904,147,3201,298,2903,6414,8009,3177,4831,4285,1556,651,2078,3882,14363,12879,1485,22199,10465,11734,2085,9649,20522,8510,6473,739,4800,10001,2835,1231,768,835,932,676,2281,2214,1064,15887,315,5618,1810,3134,674,3932,1191,2397,344,1378,444,750,184,226,1187,1786,1446,12194,1950,1151,2335,6759,33541,6650,16473,3583,256,12634,10418,11796,9036,484,2277,32853,2390,8108,4504,17851,1609,5876,3236,7130,63341,21063,3024,3551,2062,1149,11276,18199,17352,13429,3923,6727,258068,146834,13124,24978,108733,111233,78011,63648,14363,22199,1659,425,20114,10001,3537,3187,2214,1064,15887,14441,1446,12194,891,577,3968,6759,33541,4052,1013,4209,24267,11796,484,11313,32853,2204,3364,9233,18052,21063,782,1970,4455,13856,730286,36678,2492,34186,4504,2313,10801,2775,3120,1562,9111,300346,174311,126034
2001-06-01,10000,7924,3.28,0.71,0.56,0.44,1.53,53.6,77.5,21.7,286054,74950,6938,2931,2229,1585,192,7999,4946,1483,660,910,6209,4782,1427,3563,1762,1139,662,9273,5965,722,1233,1353,3462,3318,144,3357,341,3015,5736,7708,2854,4854,4071,1173,674,2223,4118,12517,11231,1286,20349,10569,9780,1306,8474,18203,7568,5514,501,4619,11618,3575,1281,1528,766,1091,808,2316,2486,1341,16199,510,5669,1965,3071,633,3874,1524,2094,256,1629,551,898,180,209,1214,1810,1285,11670,2022,955,2110,6583,31452,5635,17064,4314,206,12545,8753,8625,5944,199,2482,31754,3879,6875,4252,16748,1006,6247,3281,6214,61234,18097,3181,3584,2203,1086,8043,21356,15218,11143,4075,6563,242916,144175,14911,26049,103215,98741,74950,62433,12517,20349,824,481,19043,11618,4388,3403,2486,1341,16199,14915,1285,11670,869,412,3806,6583,31452,4711,1034,4163,21544,8625,199,8426,31754,3739,3570,7553,16893,18097,379,2235,4373,11110,729840,35397,4032,31365,4252,2536,10286,2939,3218,1519,6615,286054,163180,122873
2001-07-01,10000,7907,3.28,0.71,0.57,0.44,1.52,53.7,77.4,21.7,314251,81593,7341,2842,2105,2231,163,7899,4707,1512,624,1056,6420,4829,1591,3644,1901,1109,634,8745,5204,875,1274,1392,4036,3867,169,3439,459,2980,6538,8892,3256,5636,5317,1339,836,3142,5116,14206,13034,1172,21225,11176,10049,1606,8443,18442,8315,4882,335,4909,14815,6473,2396,2841,1236,1325,772,2366,2656,1223,16911,796,5672,1474,3404,795,4355,1423,2559,372,1699,496,1011,192,277,1047,1984,1080,11321,2138,1004,2189,5990,40558,6938,23069,8929,271,13870,10550,10649,6995,196,3458,34362,3571,6904,4399,19488,1642,7996,3666,6184,64375,20578,3105,3887,2424,1126,10035,21837,15331,11501,3830,6630,270453,160410,23359,27787,109264,110043,81593,67387,14206,21225,1168,439,19619,14815,7498,3438,2656,1223,16911,15831,1080,11321,1021,328,3983,5990,40558,9575,1495,4506,24981,10649,196,10453,34362,3409,3940,7341,19672,20578,689,2316,4753,12820,729503,38161,3789,34372,4399,2299,13183,2949,3244,1401,6897,314251,175597,138654
2001-08-01,10000,7909,3.28,0.71,0.57,0.44,1.51,53.6,77.6,21.1,302474,84620,7056,3044,2105,1715,191,8350,5107,1511,682,1050,6687,5129,1559,3650,1878,1108,664,9123,5554,909,1265,1395,4989,4849,140,3294,358,2936,7501,8756,3574,5182,4692,1195,750,2746,4468,16054,15540,514,19623,10639,8984,2176,6808,20644,10912,4343,316,5073,12219,4242,1847,1304,1090,868,1287,2354,2366,1102,11918,785,3899,988,2368,543,2752,801,1738,213,1264,392,750,122,192,796,1496,735,10888,1968,816,2070,6035,36420,9043,17470,4350,269,12851,9906,7344,4833,137,2373,37258,3106,6792,4415,22945,4085,8515,3213,7132,61540,18876,2941,3241,1979,1150,9564,20261,16720,13408,3313,5683,259810,150635,16402,21494,112739,109174,84620,68566,16054,19623,1795,382,17446,12219,5220,3531,2366,1102,11918,11184,735,10888,875,365,3614,6035,36420,4911,1021,5126,25362,7344,137,7207,37258,2942,3055,8135,23126,18876,659,1956,4152,12109,728833,41684,3168,38516,4415,3001,17100,2254,2722,1269,7755,302474,178844,123630
