lng,lat
34.76959424,135.5464987
34.76961455,135.5519609
34.76506639,135.5410613
34.76508688,135.5465232
34.76510717,135.5519851
34.76957373,135.5410365
34.77329797,135.3662141
34.77332624,135.3716764
34.77335426,135.3771387
34.77338204,135.3826011
34.77340956,135.3880634
34.77343684,135.3935256
34.77346386,135.3989879
34.77349064,135.4044502
34.77351717,135.4099124
34.77354346,135.4153747
34.77356952,135.420837
34.77359535,135.4262995
34.77362097,135.4317619
34.77364634,135.4372245
34.77367146,135.442687
34.77369631,135.4481495
34.77372089,135.4536121
34.77374521,135.4590746
34.77376928,135.4645371
34.77379309,135.4699996
34.77381668,135.475462
34.77384003,135.4809245
34.77386314,135.486387
34.77388601,135.4918495
34.77390863,135.497312
34.77393102,135.5027744
34.77395316,135.5082369
34.77397507,135.5136994
34.77399673,135.5191619
34.77401816,135.5246243
34.77403935,135.5300868
34.77406031,135.5355492
34.77408106,135.5410117
34.77410159,135.5464742
34.77412191,135.5519366
34.77414202,135.5573991
34.77416183,135.5628617
34.77418133,135.5683242
34.77420059,135.5737868
34.77421959,135.5792493
34.77423836,135.5847118
34.77425688,135.5901743
34.77427516,135.5956368
34.77429319,135.6010992
34.76879074,135.3662485
34.768819,135.3717105
34.76884702,135.3771725
34.76887479,135.3826346
34.76890231,135.3880966
34.76892958,135.3935585
34.7689566,135.3990205
34.76898337,135.4044824
34.76900989,135.4099444
34.76903616,135.4154063
34.7690622,135.4208683
34.76908804,135.4263305
34.76911366,135.4317927
34.76913904,135.437255
34.76916417,135.4427172
34.76918902,135.4481795
34.7692136,135.4536417
34.76923791,135.4591039
34.76926197,135.4645661
34.76928579,135.4700283
34.76930937,135.4754905
34.76933271,135.4809527
34.76935582,135.4864149
34.76937868,135.491877
34.76940131,135.4973392
34.7694237,135.5028014
34.76944584,135.5082636
34.76946775,135.5137257
34.76948941,135.5191879
34.76951084,135.52465
34.76953203,135.5301122
34.769553,135.5355743
34.76963464,135.5574231
34.76965444,135.5628853
34.76967396,135.5683476
34.76969322,135.5738099
34.76971222,135.5792721
34.76973097,135.5847343
34.76974948,135.5901965
34.76976775,135.5956587
34.76978576,135.6011209
34.7642835,135.3662829
34.76431175,135.3717446
34.76433976,135.3772063
34.76436753,135.3826681
34.76439505,135.3881298
34.76442232,135.3935914
34.76444934,135.3990531
34.76447609,135.4045147
34.7645026,135.4099763
34.76452886,135.415438
34.76455488,135.4208996
34.76458072,135.4263615
34.76460636,135.4318235
34.76463175,135.4372855
34.76465688,135.4427475
34.76468174,135.4482095
34.7647063,135.4536714
34.7647306,135.4591333
34.76475466,135.4645952
34.76477847,135.4700571
34.76480205,135.4755189
34.76482539,135.4809808
34.76484849,135.4864427
34.76487136,135.4919046
34.76489398,135.4973665
34.76491637,135.5028283
34.76493852,135.5082902
34.76496043,135.5137521
34.7649821,135.5192139
34.76500353,135.5246758
34.76502472,135.5301376
34.76504567,135.5355995
34.76512726,135.557447
34.76514706,135.562909
34.76516658,135.568371
34.76518584,135.573833
34.76520483,135.5792949
34.76522357,135.5847569
34.76524207,135.5902188
34.76526032,135.5956807
34.76527832,135.6011426
34.75977625,135.3663173
34.7598045,135.3717787
34.75983251,135.3772402
34.75986027,135.3827016
34.75988779,135.388163
34.75991506,135.3936244
34.75994207,135.3990857
34.75996883,135.404547
34.75999533,135.4100084
34.76002158,135.4154697
34.76004759,135.420931
34.76007343,135.4263926
34.76009907,135.4318543
34.76012445,135.437316
34.76014958,135.4427777
34.76017443,135.4482394
34.76019899,135.453701
34.76022328,135.4591626
34.76024733,135.4646242
34.76051741,135.5301631
34.76053836,135.5356246
34.76055906,135.5410861
34.76057954,135.5465477
34.76059983,135.5520093
34.7560101,135.5301885
34.75603105,135.5356498
34.75605176,135.541111
34.75607224,135.5465723
34.75609252,135.5520336
34.75611257,135.557495
34.75132648,135.4865262
34.75134935,135.4919872
34.75137197,135.4974482
34.75146015,135.5192921
34.7515028,135.530214
34.75152376,135.5356749
34.75154447,135.5411359
34.75156495,135.5465969
34.75158522,135.5520579
34.75160524,135.557519
34.74679604,135.4810933
34.74681914,135.486554
34.74684201,135.4920147
34.74686464,135.4974754
34.74688703,135.5029361
34.74690919,135.5083968
34.74693113,135.5138574
34.74695285,135.5193181
34.7469743,135.5247788
34.74699551,135.5302394
34.74701646,135.5357001
34.74703718,135.5411608
34.74705765,135.5466215
34.74707791,135.5520822
34.7514816,135.524753
34.75143846,135.5138311
34.76027114,135.4700858
34.76029472,135.4755474
34.76031806,135.481009
34.76034116,135.4864706
34.76036402,135.4919321
34.76038665,135.4973937
34.76040904,135.5028553
34.76043119,135.5083169
34.76045311,135.5137784
34.76047478,135.51924
34.76049621,135.5247015
34.7606199,135.557471
34.76063969,135.5629327
34.7606592,135.5683944
34.76067845,135.5738561
34.76069744,135.5793178
34.76071617,135.5847794
34.76073465,135.5902411
34.76075289,135.5957027
34.76077088,135.6011643
34.755269,135.3663517
34.75529723,135.3718128
34.75532524,135.377274
34.75535301,135.3827351
34.75538053,135.3881962
34.7554078,135.3936573
34.75543482,135.3991184
34.75546157,135.4045794
34.75548808,135.4100405
34.75551433,135.4155015
34.75554036,135.4209626
34.75556618,135.4264239
34.75559179,135.4318852
34.75561715,135.4373466
34.75564226,135.442808
34.75566709,135.4482693
34.75569165,135.4537306
34.75571594,135.4591919
34.75574,135.4646532
34.75576381,135.4701145
34.75578738,135.4755758
34.75581072,135.4810371
34.75583382,135.4864984
34.75585668,135.4919597
34.75587931,135.4974209
34.7559017,135.5028822
34.75592386,135.5083435
34.75594578,135.5138048
34.75596747,135.519266
34.7559889,135.5247273
34.75613234,135.5629564
34.75615183,135.5684178
34.75617107,135.5738792
34.75619004,135.5793406
34.75620876,135.584802
34.75622723,135.5902633
34.75624545,135.5957247
34.75626344,135.601186
34.75076174,135.3663861
34.75078996,135.3718469
34.75081796,135.3773078
34.75084573,135.3827686
34.75087326,135.3882294
34.75090054,135.3936902
34.75092756,135.399151
34.75095432,135.4046118
34.75098083,135.4100726
34.75100709,135.4155334
34.75103312,135.4209942
34.75105893,135.4264551
34.75108451,135.4319161
34.75110984,135.4373772
34.75113493,135.4428382
34.75115975,135.4482992
34.7511843,135.4537603
34.7512086,135.4592213
34.75123266,135.4646823
34.75125647,135.4701432
34.75128004,135.4756042
34.75130338,135.4810652
34.75139437,135.5029092
34.75141653,135.5083701
34.75162499,135.5629801
34.75164447,135.5684412
34.75166369,135.5739023
34.75168264,135.5793634
34.75170135,135.5848245
34.7517198,135.5902856
34.75173801,135.5957467
34.75175599,135.6012077
34.74625447,135.3664205
34.74628267,135.371881
34.74631067,135.3773416
34.74633845,135.3828022
34.74636599,135.3882627
34.74639328,135.3937232
34.74642031,135.3991837
34.74644707,135.4046442
34.74647358,135.4101047
34.74649985,135.4155652
34.74652587,135.4210258
34.74655167,135.4264864
34.74657723,135.431947
34.74660254,135.4374077
34.74662761,135.4428685
34.74665241,135.4483292
34.74667696,135.4537899
34.74670125,135.4592506
34.74672531,135.4647113
34.74674912,135.4701719
34.7467727,135.4756326
34.74709793,135.557543
34.74711765,135.5630038
34.7471371,135.5684646
34.74228869,135.4811214
34.7423118,135.4865818
34.74233467,135.4920422
34.7423573,135.4975026
